transactionId,userId,cardNumber,amount,location,date,time,cardType,merchant,payment_status,is_fraud
TX7386996,U9908,4480417386045726,608.82,Jaipur,2020-06-17,20:43:33,Visa,Starbucks,Failed,no
TX6951408,U5677,3468462226508912,1150.2,Kolkata,2020-06-03,00:31:13,MasterCard,Target,Success,no
TX7538166,U5904,4505054662343754,1750.35,Goa,2022-08-21,18:37:44,Visa,Target,Success,yes
TX8142709,U6832,4353332000956261,1165.25,Leh,2019-01-16,18:28:21,Visa,McDonald's,Success,yes
TX4594965,U5409,5134931259501545,422.9,Bangalore,2023-02-19,12:10:40,RuPay,Walmart,Success,no
TX3572654,U5711,9791332835456660,485.75,Delhi,2020-03-24,17:48:49,American Express,Target,Success,yes
TX2745702,U6873,9411422178965598,1587.06,Delhi,2023-06-18,18:36:34,Diners Club,Best Buy,Success,no
TX3589015,U7260,5886629768488670,223.3,Jaipur,2018-12-13,13:37:01,MasterCard,Target,Success,no
TX3237017,U2715,1448326544961855,1360.26,Udaipur,2023-11-22,07:55:55,RuPay,Starbucks,Success,no
TX3294728,U594,6868641382162442,1358.07,Jaipur,2018-06-05,21:44:28,RuPay,Shell,Success,no
TX8576278,U3041,2691087530337379,143.47,Delhi,2021-06-13,13:19:05,Diners Club,Amazon,Success,no
TX3963581,U8570,7796475748471791,1125.45,Jaipur,2019-06-24,21:07:45,RuPay,Amazon,Failed,no
TX3057956,U619,3945983444748988,759.98,Darjeeling,2019-10-02,13:53:12,RuPay,Target,Success,no
TX8238943,U4304,8467957507801335,1675.42,Delhi,2022-11-07,10:44:42,Diners Club,Amazon,Success,no
TX7322400,U2425,5733824653692721,549.6,Chennai,2024-02-13,22:34:59,Visa,Flipkart,Success,yes
TX2549956,U4673,2134088758281518,1382.81,Leh,2020-04-30,12:49:18,Diners Club,Starbucks,Success,no
TX6112566,U6151,5514589087061650,995.1,Jaipur,2020-02-26,05:14:42,MasterCard,Shell,Success,yes
TX8825702,U9870,5494654133646920,603.9,Goa,2022-04-18,19:23:09,American Express,Best Buy,Success,yes
TX2355437,U5503,8682179876456119,1770.51,Kochi,2020-05-26,00:09:13,MasterCard,Best Buy,Success,no
TX6012993,U848,1343662550663224,744.88,Leh,2022-06-04,22:11:39,Diners Club,Best Buy,Success,no
TX6206575,U4633,8463188930664551,1523,Udaipur,2018-11-22,22:54:45,Visa,Target,Success,no
TX6670961,U4528,7617436332031688,456.56,Mandya,2021-04-23,21:12:57,American Express,Starbucks,Success,no
TX3220595,U4111,5457788044726416,21.93,Kochi,2021-01-09,07:14:15,Visa,McDonald's,Success,no
TX9586835,U6074,7742261964245976,1808.92,Jaipur,2024-06-10,23:37:13,Diners Club,Shell,Success,yes
TX6069614,U9494,2891483919719024,229.19,Udaipur,2024-09-25,05:53:44,Visa,Shell,Success,yes
TX2222827,U5376,4394269456667813,33.4,Delhi,2023-09-22,14:08:30,Diners Club,Target,Success,no
TX8500012,U7888,8554275696771865,476.83,Mumbai,2021-11-29,22:36:05,RuPay,Apple Store,Failed,no
TX2585252,U7293,2068427960625913,867.79,Mandya,2022-07-01,06:46:49,MasterCard,ExxonMobil,Success,no
TX4921947,U2012,0209476271810248,1493.45,Darjeeling,2023-02-13,16:46:29,American Express,McDonald's,Success,no
TX8454860,U6680,3903141592717168,1509.64,Udaipur,2022-12-29,08:00:38,American Express,Amazon,Success,no
TX2884765,U7946,0091935862914778,1033.8,Mandya,2019-01-23,03:48:41,Visa,Walmart,Failed,no
TX6554244,U3598,3256927772831592,761.06,Goa,2019-09-02,16:30:05,Visa,Starbucks,Success,no
TX2149326,U1328,9956000645498087,510.39,Kolkata,2022-06-06,12:14:38,Visa,Starbucks,Failed,no
TX7702994,U757,3425173994160239,405.69,Goa,2023-05-15,03:18:22,Diners Club,Shell,Failed,yes
TX8981003,U962,0305798960226603,1458.19,Kolkata,2021-12-13,01:15:24,American Express,Flipkart,Success,no
TX7773971,U4078,3353664941459668,1937.52,Hyderabad,2020-05-10,21:30:32,Visa,Target,Success,no
TX5836933,U3782,7301537106990581,1738.06,Leh,2024-04-21,06:12:59,MasterCard,Target,Success,no
TX7314665,U4997,7175801924267853,494.69,Shillong,2018-01-07,01:47:31,Diners Club,Best Buy,Success,no
TX8986992,U8919,6353082413035177,965.89,Varanasi,2022-02-28,04:35:33,MasterCard,Apple Store,Failed,yes
TX7672564,U6506,9202976586695635,802.8,Mandya,2019-06-07,13:31:41,RuPay,Amazon,Success,no
TX3359005,U7702,9997771630447245,1644.52,Jaipur,2024-10-09,19:15:03,MasterCard,Walmart,Success,no
TX2828493,U3448,3363904711020925,860.38,Mumbai,2019-06-05,21:09:23,Visa,Shell,Success,no
TX4443537,U9595,7824596081425153,1282.4,Goa,2019-09-12,22:21:28,RuPay,Flipkart,Failed,no
TX6054433,U950,1189948814441984,1694.56,Chennai,2020-06-14,00:46:22,Visa,McDonald's,Success,no
TX2887757,U6906,8734676638855027,1811.7,Kolkata,2024-05-14,16:03:34,RuPay,Apple Store,Success,yes
TX6173230,U1333,8892259738458365,1512.31,Hyderabad,2024-03-24,05:31:06,Visa,Flipkart,Failed,yes
TX9931113,U5196,2995186439727397,187.33,Mandya,2020-03-31,20:48:57,MasterCard,Apple Store,Success,no
TX6241774,U6831,2307457015290988,424.39,Mandya,2025-02-11,15:14:58,RuPay,Target,Success,no
TX8901438,U3976,6352337570869081,188.41,Udaipur,2021-12-04,08:23:41,American Express,Target,Failed,yes
TX9073826,U9065,7724869141395065,1450.15,Leh,2019-02-08,11:01:41,MasterCard,ExxonMobil,Success,no
TX2279222,U919,8419023051922475,934.48,Varanasi,2020-08-16,01:33:54,MasterCard,Apple Store,Success,no
TX7606771,U1554,8191574200728906,510.23,Hyderabad,2024-04-14,07:47:11,RuPay,Flipkart,Success,no
TX8731495,U8953,3525835324450445,895.49,Varanasi,2022-10-02,10:36:21,Diners Club,Starbucks,Success,no
TX3585321,U6464,6097372317825500,1971.16,Mysore,2018-05-19,07:51:26,Visa,Apple Store,Success,no
TX1638313,U6191,1148045980769740,767.67,Bangalore,2024-04-23,12:25:13,Diners Club,ExxonMobil,Success,yes
TX2869551,U4415,5828753626941025,1790.17,Darjeeling,2022-10-28,08:34:43,MasterCard,Apple Store,Failed,yes
TX5617600,U2802,1966082841747018,1956.73,Bangalore,2021-10-09,15:56:27,RuPay,Flipkart,Failed,no
TX6979828,U331,0214356746127345,630.37,Chennai,2024-10-25,04:49:25,RuPay,Starbucks,Success,yes
TX1474938,U8931,6222183675338708,881.68,Bangalore,2021-01-24,23:53:20,Diners Club,Shell,Success,no
TX4512145,U6108,9755960575112819,1632.76,Mysore,2018-04-10,23:07:08,Diners Club,Best Buy,Success,no
TX3949433,U3627,6029635612523942,1029.94,Kolkata,2021-10-07,08:19:19,Visa,Starbucks,Success,no
TX5736687,U4069,2139853164412216,1576.7,Mandya,2025-05-02,08:01:13,Visa,McDonald's,Success,no
TX8181701,U9028,1013617279990728,1483.52,Shillong,2022-10-11,12:04:29,MasterCard,Amazon,Success,no
TX6813038,U6546,3555170045294278,1250.6,Mysore,2018-08-19,16:31:19,RuPay,ExxonMobil,Failed,no
TX1092187,U3708,8744775722166906,993.28,Delhi,2019-03-18,18:21:15,MasterCard,Flipkart,Success,no
TX6705460,U9607,7075253640115516,1486.56,Bangalore,2022-01-23,20:09:10,Visa,Amazon,Success,no
TX5013295,U9767,1215124538228567,1756.37,Leh,2019-09-13,11:14:01,American Express,Starbucks,Success,no
TX1843731,U8748,2026681623238356,1013.57,Varanasi,2019-07-11,05:52:22,RuPay,McDonald's,Failed,no
TX7923267,U6960,0036012717925432,1230.46,Udaipur,2022-06-03,16:32:59,Visa,Shell,Success,no
TX9304737,U6762,7188674934058741,413.88,Udaipur,2019-08-24,22:38:29,MasterCard,Flipkart,Success,yes
TX9456493,U6679,5382820184586492,1175.89,Kolkata,2021-06-16,02:16:49,MasterCard,Amazon,Success,no
TX4070343,U9669,4272357551158884,1391.52,Jaipur,2025-05-29,00:42:14,MasterCard,Apple Store,Success,no
TX5799889,U4585,1334596786475741,1046.21,Leh,2020-11-18,15:42:43,MasterCard,McDonald's,Success,no
TX9180304,U8762,4099405989782475,829.43,Bangalore,2021-01-24,21:42:47,Diners Club,Flipkart,Success,no
TX5496794,U7319,2136920020384436,1998.06,Udaipur,2023-10-13,14:17:56,Diners Club,Shell,Failed,no
TX6104773,U8816,8812610920503218,1988.5,Kolkata,2022-01-08,02:49:58,MasterCard,Best Buy,Success,no
TX3832165,U6133,4307326757051479,803.92,Udaipur,2023-08-19,00:10:42,American Express,Best Buy,Success,no
TX5581468,U2127,7212222721794873,1332.63,Kolkata,2022-04-26,12:51:44,MasterCard,Target,Success,no
TX9900644,U5535,8568472845837507,1456.17,Jaipur,2023-08-20,13:53:46,American Express,Apple Store,Failed,no
TX5383753,U3465,3548343385666289,1534.71,Chennai,2020-11-17,04:17:32,Visa,Apple Store,Failed,no
TX2799187,U6363,0788383309043153,1432.5,Chennai,2019-10-11,21:59:02,Diners Club,Starbucks,Success,no
TX4113158,U2316,2299173857361334,1329.29,Chennai,2022-10-25,12:43:30,Visa,Best Buy,Success,no
TX9214549,U4998,5229162927949839,765.44,Mysore,2022-02-28,10:30:06,MasterCard,McDonald's,Success,no
TX8563812,U8504,4917030104860493,1782.63,Kochi,2024-12-03,11:32:14,Diners Club,Shell,Success,yes
TX4447810,U7594,4525154791578031,1268.68,Bangalore,2019-08-08,15:36:17,Visa,Starbucks,Success,no
TX8353385,U8899,8834987142385635,210.29,Goa,2022-07-09,19:25:36,American Express,Shell,Success,yes
TX5738314,U816,9729242012863125,501.78,Mysore,2019-12-07,01:24:44,RuPay,McDonald's,Success,no
TX7425275,U6503,8680955948187495,1798.42,Kochi,2018-05-10,14:10:32,Diners Club,Target,Success,no
TX6731430,U6233,5957275297666983,19.79,Chennai,2023-10-14,09:46:12,Visa,Amazon,Success,no
TX9025398,U551,9209880627347305,1034.68,Jaipur,2020-02-25,20:46:49,Diners Club,Best Buy,Success,no
TX2189062,U2136,6849281161627633,67.27,Varanasi,2022-08-14,11:41:47,RuPay,ExxonMobil,Success,no
TX6807253,U2028,7563096623017543,297.47,Mysore,2025-03-10,07:58:07,American Express,Apple Store,Failed,no
TX1869062,U7133,2635042628163832,1753.23,Darjeeling,2023-09-21,06:34:34,MasterCard,Amazon,Success,yes
TX5870485,U366,4758353338139663,923.78,Mandya,2025-04-05,02:26:29,RuPay,Best Buy,Success,no
TX7732149,U508,2304888897352694,1586.16,Chennai,2022-07-09,04:53:50,RuPay,Amazon,Failed,yes
TX3889710,U3800,6587837249724885,1140.45,Jaipur,2020-02-18,03:59:22,American Express,Best Buy,Success,no
TX2432424,U7154,0381743710718019,1030.71,Mumbai,2023-02-01,12:52:53,RuPay,Walmart,Success,no
TX5995574,U1266,4889719567543450,573.73,Leh,2023-09-18,15:51:06,MasterCard,ExxonMobil,Success,no
TX5806179,U4349,9651948374644189,1535.81,Kochi,2021-12-31,15:04:12,Visa,Flipkart,Success,no
TX1669359,U6455,4600122712573611,471.05,Varanasi,2023-03-29,02:45:57,Diners Club,McDonald's,Success,yes
TX1503260,U3532,9850778539445939,1852.41,Darjeeling,2023-07-29,19:59:53,American Express,Starbucks,Failed,yes
TX6586884,U9150,9415198502844926,1414.26,Mumbai,2024-02-14,00:47:18,RuPay,ExxonMobil,Success,no
TX3498372,U6369,9259348173695294,1677.46,Kochi,2023-01-10,21:58:56,American Express,Apple Store,Success,no
TX4096891,U2506,4328078101598093,389.77,Kochi,2023-10-20,06:42:20,Diners Club,Walmart,Success,no
TX3545474,U6116,2246972498840106,1954.5,Hyderabad,2023-07-08,16:37:11,Visa,Starbucks,Success,no
TX1853574,U8800,3380461962485787,1117.43,Leh,2025-02-24,15:55:50,American Express,Apple Store,Success,no
TX2067541,U2464,0890433015396391,753,Darjeeling,2020-09-22,05:24:07,Diners Club,Target,Success,yes
TX4520945,U1174,8653986893301787,195.37,Bangalore,2019-05-16,02:56:37,MasterCard,ExxonMobil,Success,no
TX5749197,U7149,9673881633702212,639.32,Delhi,2021-10-12,06:18:07,RuPay,Apple Store,Success,no
TX2514657,U9386,7923805781923528,1508.09,Jaipur,2020-03-30,20:19:01,MasterCard,McDonald's,Success,no
TX1505007,U4121,3689734975397492,371.46,Hyderabad,2019-09-02,13:40:49,American Express,McDonald's,Success,no
TX6476381,U221,3001147752068336,1359.94,Mysore,2024-03-06,13:28:47,Diners Club,McDonald's,Failed,no
TX5002873,U5822,6380255863431994,1835.4,Jaipur,2018-07-13,19:31:19,MasterCard,Shell,Success,no
TX7004969,U4987,7791923291660568,1146.47,Goa,2021-11-08,04:40:26,American Express,Best Buy,Success,yes
TX8726171,U2156,0278226829057284,1370.45,Kolkata,2024-03-09,08:00:12,American Express,Walmart,Success,no
TX1867331,U5673,1991351687738518,331.52,Leh,2018-08-20,19:19:55,Diners Club,Flipkart,Success,no
TX9033904,U2908,8893238286296199,491.06,Varanasi,2022-01-12,20:18:45,American Express,Target,Success,yes
TX6745830,U6285,1919584774102158,1086.79,Kolkata,2023-05-07,19:05:01,MasterCard,Apple Store,Success,no
TX3039985,U7712,1986448850978737,1669.78,Leh,2024-09-29,19:46:44,American Express,Shell,Success,no
TX8805833,U8154,1538249084070554,1077.89,Hyderabad,2023-02-22,11:43:28,American Express,McDonald's,Success,no
TX9954205,U2255,0753558958890558,542.41,Mumbai,2022-10-05,04:04:21,Diners Club,McDonald's,Success,no
TX4363597,U7162,4945670585421918,1668.2,Shillong,2022-02-21,17:34:59,RuPay,Best Buy,Success,no
TX6691554,U4430,3503798157027079,1401.63,Kochi,2024-07-15,02:34:23,Visa,Walmart,Success,no
TX2109009,U3301,2680061051640810,1218.59,Kolkata,2020-11-06,21:11:34,RuPay,Amazon,Success,yes
TX8720879,U4861,7033422663814897,494.28,Chennai,2023-08-02,15:19:48,Visa,Best Buy,Success,no
TX3732902,U1445,6236269560277567,121.17,Goa,2023-06-14,03:10:28,American Express,Flipkart,Success,no
TX5464487,U5483,5953486904011880,1349.15,Mysore,2025-01-25,04:13:01,RuPay,Flipkart,Success,no
TX2402516,U8053,7094987267648293,778.15,Shillong,2023-05-09,22:40:23,Diners Club,Apple Store,Success,no
TX2229166,U1981,1796640332748982,1212.36,Kochi,2018-08-10,06:35:53,Diners Club,ExxonMobil,Failed,no
TX6535672,U4278,7286705197673648,332.1,Mumbai,2018-07-02,15:42:35,RuPay,Starbucks,Success,no
TX2040129,U5019,4807026300426251,804.45,Darjeeling,2020-12-31,09:54:35,RuPay,ExxonMobil,Success,no
TX1893905,U9813,5984474471511039,530.82,Mysore,2020-06-19,04:53:27,Visa,Amazon,Success,no
TX1892208,U2510,0521422315056410,559.63,Kochi,2018-01-28,16:17:37,MasterCard,Best Buy,Success,no
TX6292368,U9572,2692893842470837,942.15,Bangalore,2018-09-25,18:36:27,RuPay,Walmart,Success,no
TX9119144,U3807,3119020209662067,485.49,Leh,2023-02-12,01:09:10,Diners Club,Walmart,Success,yes
TX1254699,U8796,0941419637215726,1753.62,Udaipur,2021-05-19,02:31:20,Diners Club,Amazon,Success,no
TX7687275,U223,1212479081960660,1419.25,Mysore,2023-03-02,21:35:47,Diners Club,Starbucks,Success,no
TX9359425,U6299,4861221093382011,540.8,Varanasi,2023-11-19,19:17:20,Diners Club,McDonald's,Failed,yes
TX8656019,U8653,7415656045134600,731.54,Mandya,2018-10-31,15:36:01,RuPay,ExxonMobil,Success,no
TX7967528,U6381,7632360994758050,1064.25,Udaipur,2019-05-22,17:56:39,Diners Club,Flipkart,Success,yes
TX5656476,U1859,1624156190069516,487.21,Mumbai,2020-02-21,06:36:18,Diners Club,Starbucks,Success,no
TX2120026,U6270,9700352686062141,822.58,Shillong,2021-11-26,23:05:38,Diners Club,Starbucks,Failed,no
TX9918822,U6051,7951130288853205,720.31,Jaipur,2023-11-06,06:58:39,MasterCard,ExxonMobil,Success,no
TX7986869,U5342,6403187378181451,34.79,Udaipur,2020-06-22,00:43:29,American Express,Shell,Failed,no
TX7754034,U9611,5406760476720707,1967.88,Varanasi,2020-05-04,04:36:33,American Express,McDonald's,Success,yes
TX2989675,U3827,6097707320071309,597.48,Kochi,2022-07-12,07:17:57,Diners Club,Walmart,Failed,no
TX5884647,U1290,7843174646216326,1496.42,Mysore,2020-01-18,13:11:22,Visa,Best Buy,Success,yes
TX4276610,U9378,7136878236271852,427.02,Darjeeling,2021-02-17,06:58:11,Diners Club,ExxonMobil,Success,no
TX5137428,U9867,4995885401386783,376.26,Shillong,2018-06-15,02:20:10,RuPay,Best Buy,Success,no
TX5242334,U5981,0794571278650800,660.15,Jaipur,2021-09-22,20:11:11,Visa,Starbucks,Success,no
TX6064548,U1997,5071233014800750,1096.09,Goa,2020-01-23,01:16:56,RuPay,Shell,Failed,no
TX8222269,U5966,0492482281649141,760.35,Hyderabad,2022-11-12,01:00:13,RuPay,Flipkart,Success,no
TX8821611,U2749,5704817070585532,134.15,Darjeeling,2018-09-01,21:36:44,Diners Club,Amazon,Success,no
TX9681593,U8152,3852042217451986,1795.23,Bangalore,2024-05-05,13:38:16,RuPay,Target,Success,no
TX6758133,U4575,6397970043187103,500.11,Goa,2023-11-15,22:18:01,American Express,Starbucks,Success,no
TX2537873,U2569,1198243522154515,618.33,Varanasi,2022-12-22,15:23:52,Visa,Best Buy,Failed,no
TX9211784,U4700,2458930950247017,1188.68,Jaipur,2021-12-17,18:23:02,American Express,Flipkart,Success,yes
TX5058987,U9674,1027511101745349,1861.79,Kochi,2022-08-31,17:11:42,Diners Club,Target,Success,no
TX6005002,U3827,3689414350973797,1325.93,Jaipur,2021-04-16,09:40:42,RuPay,McDonald's,Success,no
TX6665316,U3576,1642431600792624,1931.54,Delhi,2020-11-15,01:58:59,American Express,McDonald's,Success,no
TX2683582,U1607,5373088409528004,1958.75,Jaipur,2019-05-12,11:48:21,Diners Club,McDonald's,Success,no
TX3302020,U4144,0700750266393618,946.01,Delhi,2019-09-14,10:09:37,MasterCard,McDonald's,Success,no
TX3104613,U2057,7579937630992331,467.04,Mysore,2024-11-15,04:45:15,RuPay,Flipkart,Success,no
TX7796016,U9105,2298851630614749,825.91,Hyderabad,2021-09-11,08:57:36,American Express,Best Buy,Success,yes
TX5921000,U7020,3985137412597895,1668.48,Darjeeling,2019-04-15,05:36:30,Visa,McDonald's,Success,no
TX8921190,U7220,1806893267739396,1173.28,Bangalore,2021-05-10,13:18:33,MasterCard,Starbucks,Success,no
TX3519342,U7253,3866675753450584,810.51,Mumbai,2023-03-16,01:25:35,RuPay,McDonald's,Success,yes
TX8718908,U9336,7808887532646087,1239.38,Bangalore,2018-03-22,21:20:50,American Express,Starbucks,Success,yes
TX6394805,U7209,4715091668135780,811.26,Kolkata,2023-02-22,13:16:06,Diners Club,Best Buy,Success,yes
TX6106568,U3493,1110994753112293,878.59,Leh,2018-12-09,14:25:03,American Express,Best Buy,Success,no
TX1559027,U2853,5194185529876534,1528.13,Mysore,2018-09-12,18:19:39,RuPay,Apple Store,Failed,no
TX3692061,U9575,6863092266940682,1162.75,Varanasi,2025-02-12,06:32:31,Diners Club,Starbucks,Success,no
TX3192799,U5980,8840979292385692,828.52,Delhi,2022-06-24,05:09:41,Visa,ExxonMobil,Success,no
TX2645285,U1961,2170876970769819,99.33,Udaipur,2022-09-30,11:40:52,Diners Club,Flipkart,Success,no
TX7544202,U8941,8574291873830966,1835.53,Chennai,2018-03-24,21:39:11,MasterCard,Apple Store,Success,yes
TX8267142,U4993,9301991212607059,1677.24,Jaipur,2025-01-13,08:24:05,Visa,Apple Store,Success,no
TX3535877,U1476,4008141924718254,651.62,Kolkata,2021-12-11,06:04:08,MasterCard,ExxonMobil,Success,no
TX6085296,U9238,1275355924136821,499.43,Bangalore,2024-05-22,21:14:23,RuPay,Walmart,Success,no
TX5691055,U1985,7411135979636773,1351.76,Goa,2018-10-05,11:06:30,MasterCard,Best Buy,Success,yes
TX1839326,U945,4965869005305094,17.81,Kolkata,2022-07-13,07:14:59,Visa,Target,Success,no
TX4382587,U3766,9016222415189162,1598.32,Delhi,2021-08-06,15:16:26,American Express,Apple Store,Success,no
TX7996309,U7223,3823708788643178,1469.74,Mysore,2018-03-11,17:35:28,Visa,ExxonMobil,Failed,no
TX4361151,U5772,3671017161862801,530.84,Mumbai,2024-12-30,08:18:00,Visa,Walmart,Success,no
TX2554994,U4422,3951303941240127,702.61,Mandya,2018-12-17,10:40:29,RuPay,Best Buy,Success,no
TX8591880,U7393,6635661080831082,1318.87,Udaipur,2023-06-16,01:14:44,Diners Club,Flipkart,Success,no
TX2760594,U6029,9247398282767958,626.25,Bangalore,2023-11-13,10:58:17,MasterCard,Starbucks,Failed,no
TX5048602,U2927,6353711958375751,1330.25,Jaipur,2024-11-12,11:51:19,American Express,Flipkart,Failed,no
TX6399147,U4586,9871876229586539,1469.92,Hyderabad,2019-12-26,09:33:26,RuPay,Starbucks,Success,no
TX1174493,U1329,1120601233281150,1777.14,Mysore,2024-03-24,23:03:23,Diners Club,Starbucks,Success,no
TX5937941,U2276,2000211790064207,97.32,Chennai,2019-09-06,09:52:30,American Express,ExxonMobil,Success,yes
TX3678915,U5941,2093668316927605,1731.72,Goa,2020-07-16,20:53:00,American Express,Best Buy,Failed,no
TX3168818,U2579,3197811085133892,737.8,Shillong,2024-02-26,12:04:16,Visa,Best Buy,Success,yes
TX6571669,U8076,7876448603236292,1555.61,Jaipur,2022-06-29,11:57:18,American Express,Amazon,Success,no
TX3411947,U7881,8991019886367935,958.52,Shillong,2020-07-10,13:19:15,RuPay,Walmart,Failed,no
TX5475012,U3835,9566961760203695,1055.88,Jaipur,2021-04-05,09:48:06,American Express,McDonald's,Success,no
TX2592863,U8292,8546988190717161,543.4,Darjeeling,2019-11-18,23:00:54,American Express,ExxonMobil,Success,yes
TX8274189,U5933,7980719557241421,1897.17,Leh,2021-07-16,17:56:00,Diners Club,Shell,Success,no
TX4592522,U2288,7616673519248718,1493.79,Chennai,2021-01-14,05:50:24,RuPay,McDonald's,Success,no
TX6219827,U3108,7291728255788961,476.45,Leh,2020-03-08,18:33:32,Diners Club,Apple Store,Success,no
TX3430188,U9785,5876125582008745,1760.06,Mumbai,2024-08-04,03:55:34,American Express,Shell,Success,no
TX5922172,U5581,7489898062110911,199.51,Varanasi,2023-08-21,09:31:31,Diners Club,Best Buy,Success,no
TX9246472,U1102,3055741682872785,992.57,Delhi,2025-04-13,19:30:10,Visa,McDonald's,Success,no
TX9615084,U5152,2414891044210485,743.4,Kolkata,2019-01-24,17:05:46,Visa,Starbucks,Success,no
TX2774547,U6329,3494502982125435,344.34,Kolkata,2020-01-28,20:01:59,Visa,Apple Store,Failed,yes
TX2310875,U3038,9446527820155817,513.03,Darjeeling,2018-11-28,18:28:10,Visa,Walmart,Success,no
TX2003828,U5458,2666213740899681,974.57,Leh,2021-09-19,23:48:38,Visa,Target,Success,yes
TX6869467,U4118,1792299944081408,418.12,Leh,2023-01-08,09:08:26,MasterCard,ExxonMobil,Success,no
TX4610059,U6668,2130753751038812,322.74,Kochi,2018-05-11,12:46:31,Visa,Amazon,Success,no
TX4049436,U2320,9165553472168489,1216.9,Goa,2022-08-20,17:27:44,Diners Club,ExxonMobil,Success,no
TX8901896,U7634,0941563734396082,478.56,Kochi,2019-05-04,18:39:09,American Express,ExxonMobil,Success,no
TX5483136,U5705,9786215349654590,355.35,Kolkata,2025-01-18,04:04:54,RuPay,Best Buy,Success,no
TX3249526,U2756,7410490498038563,1333.79,Jaipur,2019-01-06,01:44:23,RuPay,Starbucks,Failed,no
TX6320068,U2571,0433279800575994,232.19,Udaipur,2020-06-06,07:25:04,Diners Club,Amazon,Success,yes
TX1016664,U4517,6765846356128634,1604.32,Leh,2023-06-05,03:10:43,Visa,Amazon,Success,no
TX4936194,U2415,4726936385725230,261.65,Shillong,2025-01-22,20:42:42,MasterCard,Amazon,Success,no
TX7063981,U7304,7408122110342121,249.74,Mumbai,2020-01-08,14:02:58,MasterCard,McDonald's,Success,no
TX5260691,U2832,5060573466059263,206.57,Kochi,2021-03-28,20:11:12,Diners Club,Shell,Success,no
TX6289380,U8006,3335447499910227,211.58,Varanasi,2018-05-23,02:01:33,Diners Club,Flipkart,Success,no
